stop_id,stop_name,platform_code,stop_lat,stop_lon,zone_id,location_type,parent_station
S1,成瀬駅南口前,,35.5352270385355,139.472560598716,S1,1,
S1_1,成瀬駅南口前,,35.5352270385355,139.472560598716,S1_1,0,S1
S1_2,成瀬駅南口前,,35.5352270385355,139.472560598716,S1_2,0,S1
S2,成瀬が丘三丁目東,,35.5354265877337,139.469505294533,S2,1,
S2_1,成瀬が丘三丁目東,,35.5354265877337,139.469505294533,S2_1,0,S2
S3,三丁目児童公園入口,,35.535296366369,139.468463721445,S3,1,
S3_1,三丁目児童公園入口,,35.535296366369,139.468463721445,S3_1,0,S3
S4,成瀬が丘三丁目西,,35.5346453535985,139.466797222096,S4,1,
S4_1,成瀬が丘三丁目西,,35.5346453535985,139.466797222096,S4_1,0,S4
S5,金森図書館前,,35.5340985022464,139.465373753536,S5,1,
S5_1,金森図書館前,,35.5340985022464,139.465373753536,S5_1,0,S5
S6,松葉谷戸公園入口,,35.5349316958456,139.463637756655,S6,1,
S6_1,松葉谷戸公園入口,,35.5349316958456,139.463637756655,S6_1,0,S6
S7,都営金森第９前,,35.5345323890634,139.461901808758,S7,1,
S7_1,都営金森第９前,,35.5345323890634,139.461901808758,S7_1,0,S7
S8,金森二丁目中央,,35.5339595054304,139.460721376162,S8,1,
S8_1,金森二丁目中央,,35.5339595054304,139.460721376162,S8_1,0,S8
S9,金森,,35.5326749340192,139.460964462131,S9,1,
S9_1,金森,,35.5326749340192,139.460964462131,S9_1,0,S9
S10,都営金森第１１入口,,35.5306526204116,139.462040840017,S10,1,
S10_1,都営金森第１１入口,,35.5306526204116,139.462040840017,S10_1,0,S10
S11,市営住宅入口,,35.5291510705485,139.462700565906,S11,1,
S11_1,市営住宅入口,,35.5291510705485,139.462700565906,S11_1,0,S11
S12,南中学校北,,35.5286216493386,139.463950480858,S12,1,
S12_1,南中学校北,,35.5286216493386,139.463950480858,S12_1,0,S12
S13,わさび田公園前,,35.5300017486873,139.465686389806,S13,1,
S13_1,わさび田公園前,,35.5300017486873,139.465686389806,S13_1,0,S13
S14,みずき山ふるさとの森,,35.5308697767756,139.468325020262,S14,1,
S14_1,みずき山ふるさとの森,,35.5308697767756,139.468325020262,S14_1,0,S14
S15,南第四小学校入口,,35.5323539693206,139.467734733597,S15,1,
S15_1,南第四小学校入口,,35.5323539693206,139.467734733597,S15_1,0,S15
S16,都立小川高校前,,35.533673322677,139.46988727625,S16,1,
S16_1,都立小川高校前,,35.533673322677,139.46988727625,S16_1,0,S16
S17,成瀬が丘二丁目西,,35.5358519111372,139.470407978791,S17,1,
S17_1,成瀬が丘二丁目西,,35.5358519111372,139.470407978791,S17_1,0,S17
S18,南中学校前［町田市］,,35.5277710541616,139.464089391753,S18,1,
S18_1,南中学校前［町田市］,,35.5277710541616,139.464089391753,S18_1,0,S18
S19,南中学校東,,35.5268857858299,139.465929548531,S19,1,
S19_1,南中学校東,,35.5268857858299,139.465929548531,S19_1,0,S19
S20,町田バスセンター,,35.5435152907645,139.444437656561,S20,1,
S20_1,町田バスセンター,,35.5435152907645,139.444437656561,S20_1,0,S20
S20_2,町田バスセンター,,35.5435152907645,139.444437656561,S20_2,0,S20
S21,町田市役所市民ホール前,,35.5472907633261,139.438986580482,S21,1,
S21_1,町田市役所市民ホール前,,35.5472907633261,139.438986580482,S21_1,0,S21
S22,第四小学校前［町田市］,,35.5503633143133,139.438222634348,S22,1,
S22_1,第四小学校前［町田市］,,35.5503633143133,139.438222634348,S22_1,0,S22
S23,中町二丁目,,35.5524204355605,139.440514024662,S23,1,
S23_1,中町二丁目,,35.5524204355605,139.440514024662,S23_1,0,S23
S24,旭町,,35.5545382945111,139.442076307797,S24,1,
S24_1,旭町,,35.5545382945111,139.442076307797,S24_1,0,S24
S25,町田市民病院,,35.5570465769125,139.437701579582,S25,1,
S25_1,町田市民病院,,35.5570465769125,139.437701579582,S25_1,0,S25
S26,五間道路,,35.5533926167113,139.443083212287,S26,1,
S26_1,五間道路,,35.5533926167113,139.443083212287,S26_1,0,S26
S27,図書館前［町田市］,,35.551587306513,139.44468037066,S27,1,
S27_1,図書館前［町田市］,,35.551587306513,139.44468037066,S27_1,0,S27
S28,中町一丁目,,35.5498687911847,139.446242806311,S28,1,
S28_1,中町一丁目,,35.5498687911847,139.446242806311,S28_1,0,S28
S29,原町田五丁目,,35.5459196754339,139.449749609993,S29,1,
S29_1,原町田五丁目,,35.5459196754339,139.449749609993,S29_1,0,S29
S30,原町田四丁目,,35.5435588849949,139.451832860297,S30,1,
S30_1,原町田四丁目,,35.5435588849949,139.451832860297,S30_1,0,S30
S31,町田ターミナル,,35.5406598296934,139.448985994987,S31,1,
S31_1,町田ターミナル,,35.5406598296934,139.448985994987,S31_1,0,S31
S32,ネイチャーファクトリー東京町田,,35.6125050516639,139.285524815525,S32,1,
S32_1,ネイチャーファクトリー東京町田,,35.6125050516639,139.285524815525,S32_1,0,S32
S33,上大戸,,35.6131821350668,139.288406487761,S33,1,
S33_1,上大戸,,35.6131821350668,139.288406487761,S33_1,0,S33
S34,大戸橋,,35.6127655824304,139.290941010763,S34,1,
S34_1,大戸橋,,35.6127655824304,139.290941010763,S34_1,0,S34
S35,公会堂前［町田市］,,35.6108995908045,139.295385151008,S35,1,
S35_1,公会堂前［町田市］,,35.6108995908045,139.295385151008,S35_1,0,S35
S36,水の口,,35.6097452970094,139.298787685009,S36,1,
S36_1,水の口,,35.6097452970094,139.298787685009,S36_1,0,S36
S37,円林寺前,,35.6071762218332,139.301808363271,S37,1,
S37_1,円林寺前,,35.6071762218332,139.301808363271,S37_1,0,S37
S38,境橋［町田市］,,35.6058569985727,139.304551237775,S38,1,
S38_1,境橋［町田市］,,35.6058569985727,139.304551237775,S38_1,0,S38
S39,根岸［相原町］,,35.6053450377202,139.309620271154,S39,1,
S39_1,根岸［相原町］,,35.6053450377202,139.309620271154,S39_1,0,S39
S40,相原十字路,,35.6057444730917,139.316216916143,S40,1,
S40_1,相原十字路,,35.6057444730917,139.316216916143,S40_1,0,S40
S41,開都,,35.606395527949,139.319480501452,S41,1,
S41_1,開都,,35.606395527949,139.319480501452,S41_1,0,S41
S42,相原小学校前,,35.6056925860579,139.323403806655,S42,1,
S42_1,相原小学校前,,35.6056925860579,139.323403806655,S42_1,0,S42
S43,諏訪神社前［町田市］,,35.6047032144023,139.327188246185,S43,1,
S43_1,諏訪神社前［町田市］,,35.6047032144023,139.327188246185,S43_1,0,S43
S44,相原,,35.6046251938952,139.330799053182,S44,1,
S44_1,相原,,35.6046251938952,139.330799053182,S44_1,0,S44
S45,堺市民センター前,,35.6046773431469,139.333507154039,S45,1,
S45_1,堺市民センター前,,35.6046773431469,139.333507154039,S45_1,0,S45
S46,堺中学校前,,35.6056842506463,139.3363888133,S46,1,
S46_1,堺中学校前,,35.6056842506463,139.3363888133,S46_1,0,S46
S47,堺農協前,,35.6058492132615,139.33829836651,S47,1,
S47_1,堺農協前,,35.6058492132615,139.33829836651,S47_1,0,S47
S48,坂下［町田市相原町］,,35.6054153125736,139.341249521583,S48,1,
S48_1,坂下［町田市相原町］,,35.6054153125736,139.341249521583,S48_1,0,S48
S49,相原境,,35.6043912051482,139.344374296473,S49,1,
S49_1,相原境,,35.6043912051482,139.344374296473,S49_1,0,S49
S50,久保ヶ谷戸,,35.6028203174118,139.348748986795,S50,1,
S50_1,久保ヶ谷戸,,35.6028203174118,139.348748986795,S50_1,0,S50
S51,田端［町田市］,,35.6003382488584,139.359720374537,S51,1,
S51_1,田端［町田市］,,35.6003382488584,139.359720374537,S51_1,0,S51
S52,片所,,35.5970228818325,139.368469762304,S52,1,
S52_1,片所,,35.5970228818325,139.368469762304,S52_1,0,S52
S53,小山小学校前,,35.5932041222577,139.37808715196,S53,1,
S53_1,小山小学校前,,35.5932041222577,139.37808715196,S53_1,0,S53
S54,常盤,,35.5859137245284,139.394995726714,S54,1,
S54_1,常盤,,35.5859137245284,139.394995726714,S54_1,0,S54
S55,桜橋［町田市］,,35.5934828327621,139.414403498251,S55,1,
S55_1,桜橋［町田市］,,35.5934828327621,139.414403498251,S55_1,0,S55
S56,市立室内プール［町田市］,,35.5863915621846,139.412355343424,S56,1,
S56_1,市立室内プール［町田市］,,35.5863915621846,139.412355343424,S56_1,0,S56
S57,忠生三丁目,,35.5781461665076,139.420063349835,S57,1,
S57_1,忠生三丁目,,35.5781461665076,139.420063349835,S57_1,0,S57
S58,忠生公園前,,35.5733637597414,139.421625907314,S58,1,
S58_1,忠生公園前,,35.5733637597414,139.421625907314,S58_1,0,S58
S59,玉川学園前駅南口,,35.5632184451408,139.463567193202,S59,1,
S59_1,玉川学園前駅南口,,35.5632184451408,139.463567193202,S59_1,0,S59
S59_2,玉川学園前駅南口,,35.5632184451408,139.463567193202,S59_2,0,S59
S60,鶯谷,,35.5646853974598,139.467455693544,S60,1,
S60_1,鶯谷,,35.5646853974598,139.467455693544,S60_1,0,S60
S61,鶯谷南,,35.56310572962,139.468045984083,S61,1,
S61_1,鶯谷南,,35.56310572962,139.468045984083,S61_1,0,S61
S61_2,鶯谷南,,35.56310572962,139.468045984083,S61_2,0,S61
S62,旭ヶ丘東,,35.5616910005497,139.469643127016,S62,1,
S62_1,旭ヶ丘東,,35.5616910005497,139.469643127016,S62_1,0,S62
S62_2,旭ヶ丘東,,35.5616910005497,139.469643127016,S62_2,0,S62
S63,東急台入口,,35.5602936057231,139.470302848846,S63,1,
S63_1,東急台入口,,35.5602936057231,139.470302848846,S63_1,0,S63
S63_2,東急台入口,,35.5602936057231,139.470302848846,S63_2,0,S63
S64,つつじヶ丘,,35.5588267742536,139.47096257344,S64,1,
S64_1,つつじヶ丘,,35.5588267742536,139.47096257344,S64_1,0,S64
S64_2,つつじヶ丘,,35.5588267742536,139.47096257344,S64_2,0,S64
S65,成瀬南台公園,,35.5568565040798,139.470754336193,S65,1,
S65_1,成瀬南台公園,,35.5568565040798,139.470754336193,S65_1,0,S65
S66,児童公園前［町田市］,,35.5574640525314,139.469921049424,S66,1,
S66_1,児童公園前［町田市］,,35.5574640525314,139.469921049424,S66_1,0,S66
S66_2,児童公園前［町田市］,,35.5574640525314,139.469921049424,S66_2,0,S66
S67,東玉川学園四丁目,,35.5592606905099,139.468601645495,S67,1,
S67_1,東玉川学園四丁目,,35.5592606905099,139.468601645495,S67_1,0,S67
S67_2,東玉川学園四丁目,,35.5592606905099,139.468601645495,S67_2,0,S67
S68,こすもす会館,,35.5584968515009,139.46724762418,S68,1,
S68_1,こすもす会館,,35.5584968515009,139.46724762418,S68_1,0,S68
S69,化石谷公園,,35.5575767948157,139.466449117472,S69,1,
S69_1,化石谷公園,,35.5575767948157,139.466449117472,S69_1,0,S69
S70,昭和薬科大学,,35.5540443506251,139.471900184155,S70,1,
S70_1,昭和薬科大学,,35.5540443506251,139.471900184155,S70_1,0,S70
S71,成瀬山緑地,,35.5529160319833,139.472907088019,S71,1,
S71_1,成瀬山緑地,,35.5529160319833,139.472907088019,S71_1,0,S71
S72,成瀬台三丁目,,35.5539402833119,139.475198519418,S72,1,
S72_1,成瀬台三丁目,,35.5539402833119,139.475198519418,S72_1,0,S72
S73,成瀬中央通り,,35.5551033581,139.475615104438,S73,1,
S73_1,成瀬中央通り,,35.5551033581,139.475615104438,S73_1,0,S73
S74,成瀬台四丁目西,,35.5566917138502,139.475337287032,S74,1,
S74_1,成瀬台四丁目西,,35.5566917138502,139.475337287032,S74_1,0,S74
S75,東急台南,,35.5577766096711,139.473392964465,S75,1,
S75_1,東急台南,,35.5577766096711,139.473392964465,S75_1,0,S75
S76,東玉川学園二丁目,,35.5576637373033,139.471969478689,S76,1,
S76_1,東玉川学園二丁目,,35.5576637373033,139.471969478689,S76_1,0,S76
S77,鶯谷北,,35.564017099341,139.468566736925,S77,1,
S77_1,鶯谷北,,35.564017099341,139.468566736925,S77_1,0,S77
S78,ぬぼこ山,,35.5637045440481,139.465164260476,S78,1,
S78_1,ぬぼこ山,,35.5637045440481,139.465164260476,S78_1,0,S78
S79,七丁目児童公園前,,35.5613870556468,139.463636704629,S79,1,
S79_1,七丁目児童公園前,,35.5613870556468,139.463636704629,S79_1,0,S79
S80,松見ヶ丘北,,35.5586182420059,139.462595236564,S80,1,
S80_1,松見ヶ丘北,,35.5586182420059,139.462595236564,S80_1,0,S80
S81,松見ヶ丘西,,35.5571861067175,139.462421697168,S81,1,
S81_1,松見ヶ丘西,,35.5571861067175,139.462421697168,S81_1,0,S81
S82,松見ヶ丘南,,35.5560751370966,139.463046688306,S82,1,
S82_1,松見ヶ丘南,,35.5560751370966,139.463046688306,S82_1,0,S82
S83,松見ヶ丘尾根,,35.5570125391026,139.463324405211,S83,1,
S83_1,松見ヶ丘尾根,,35.5570125391026,139.463324405211,S83_1,0,S83
S84,松見ヶ丘東,,35.5582884465671,139.463671547194,S84,1,
S84_1,松見ヶ丘東,,35.5582884465671,139.463671547194,S84_1,0,S84
S85,無窮坂上,,35.5591911247167,139.463740949828,S85,1,
S85_1,無窮坂上,,35.5591911247167,139.463740949828,S85_1,0,S85
S86,のらくろ坂下,,35.5613523022725,139.462317373586,S86,1,
S86_1,のらくろ坂下,,35.5613523022725,139.462317373586,S86_1,0,S86
S87,玉川学園前駅,,35.5635222147501,139.462976953451,S87,1,
S87_1,玉川学園前駅,,35.5635222147501,139.462976953451,S87_1,0,S87
S87_2,玉川学園前駅,,35.5635222147501,139.462976953451,S87_2,0,S87
S88,玉川学園前駅西,,35.5614651211278,139.461727141434,S88,1,
S88_1,玉川学園前駅西,,35.5614651211278,139.461727141434,S88_1,0,S88
S89,玉川学園一丁目,,35.5599635427505,139.461310569888,S89,1,
S89_1,玉川学園一丁目,,35.5599635427505,139.461310569888,S89_1,0,S89
S90,月見ヶ丘,,35.5594948159229,139.460199571758,S90,1,
S90_1,月見ヶ丘,,35.5594948159229,139.460199571758,S90_1,0,S90
S91,一丁目児童公園,,35.5599374385207,139.458845502451,S91,1,
S91_1,一丁目児童公園,,35.5599374385207,139.458845502451,S91_1,0,S91
S92,玉園台児童遊園,,35.5602324990388,139.457144246275,S92,1,
S92_1,玉園台児童遊園,,35.5602324990388,139.457144246275,S92_1,0,S92
S93,玉園台,,35.5627929243438,139.455234584334,S93,1,
S93_1,玉園台,,35.5627929243438,139.455234584334,S93_1,0,S93
S94,玉林台駐在所,,35.5637129514958,139.454922074263,S94,1,
S94_1,玉林台駐在所,,35.5637129514958,139.454922074263,S94_1,0,S94
S95,第五小学校,,35.5643032154943,139.456901049396,S95,1,
S95_1,第五小学校,,35.5643032154943,139.456901049396,S95_1,0,S95
S96,さくらんぼホール,,35.563435287959,139.458046819975,S96,1,
S96_1,さくらんぼホール,,35.563435287959,139.458046819975,S96_1,0,S96
S97,朝日公園,,35.5646850561246,139.454609562119,S97,1,
S97_1,朝日公園,,35.5646850561246,139.454609562119,S97_1,0,S97
S98,すみれ児童公園,,35.5668549547422,139.454748352871,S98,1,
S98_1,すみれ児童公園,,35.5668549547422,139.454748352871,S98_1,0,S98
S99,金井なかよし公園,,35.5686082538233,139.455650984218,S99,1,
S99_1,金井なかよし公園,,35.5686082538233,139.455650984218,S99_1,0,S99
S100,ゆうき山公園,,35.5704917336819,139.456067540541,S100,1,
S100_1,ゆうき山公園,,35.5704917336819,139.456067540541,S100_1,0,S100
S101,木倉有楽,,35.5722450364484,139.457109048965,S101,1,
S101_1,木倉有楽,,35.5722450364484,139.457109048965,S101_1,0,S101
S102,有楽入口,,35.5718024240172,139.458845030273,S102,1,
S102_1,有楽入口,,35.5718024240172,139.458845030273,S102_1,0,S102
S103,金井小学校,,35.5698234798522,139.458845109046,S103,1,
S103_1,金井小学校,,35.5698234798522,139.458845109046,S103_1,0,S103
S104,松風台,,35.5686083571468,139.459539542891,S104,1,
S104_1,松風台,,35.5686083571468,139.459539542891,S104_1,0,S104
S105,夕日ヶ丘,,35.5688514508841,139.462004601668,S105,1,
S105_1,夕日ヶ丘,,35.5688514508841,139.462004601668,S105_1,0,S105
S106,玉川学園なかよし公園,,35.5679401457592,139.463914198019,S106,1,
S106_1,玉川学園なかよし公園,,35.5679401457592,139.463914198019,S106_1,0,S106
S107,小山田桜台,,35.588364,139.402277,S107,1,
S107_1,小山田桜台,,35.588364,139.402277,S107_1,0,S107
S108,桜台入口,,35.588264,139.406617,S108,1,
S108_1,桜台入口,,35.588264,139.406617,S108_1,0,S108
S109,清住平,,35.592016,139.408903,S109,1,
S109_1,清住平,,35.592016,139.408903,S109_1,0,S109
S109_2,清住平,,35.59291,139.410625,S109_2,0,S109
S110,大泉寺,,35.596051,139.411129,S110,1,
S110_1,大泉寺,,35.596051,139.411129,S110_1,0,S110
S110_2,大泉寺,,35.596413,139.410866,S110_2,0,S110
S111,山の端,,35.596962,139.408833,S111,1,
S111_1,山の端,,35.596962,139.408833,S111_1,0,S111
S111_2,山の端,,35.597076,139.40872,S111_2,0,S111
S112,大善倶楽部,,35.602031,139.408253,S112,1,
S112_1,大善倶楽部,,35.602031,139.408253,S112_1,0,S112
S112_2,大善倶楽部,,35.601725,139.408506,S112_2,0,S112
S113,山中集会所,,35.608233,139.408007,S113,1,
S113_1,山中集会所,,35.608233,139.408007,S113_1,0,S113
S113_2,山中集会所,,35.607919,139.408087,S113_2,0,S113
S114,唐木田駅東,,35.616009,139.412003,S114,1,
S114_1,唐木田駅東,,35.616009,139.412003,S114_1,0,S114
S114_2,唐木田駅東,,35.615882,139.412159,S114_2,0,S114
S115,多摩南部地域病院,,35.622367,139.414905,S115,1,
S115_1,多摩南部地域病院,,35.622367,139.414905,S115_1,0,S115
S116,柳橋,,35.52769,139.467064,S116,1,
S116_1,柳橋,,35.52769,139.467064,S116_1,0,S116
