table_name,field_name,language,translation,record_id,field_value
stops,stop_name,ja,成瀬駅南口前,,成瀬駅南口前
stops,stop_name,ja-Hrkt,ナルセエキミナミグチマエ,,成瀬駅南口前
stops,stop_name,ja,成瀬が丘三丁目東,,成瀬が丘三丁目東
stops,stop_name,ja-Hrkt,ナルセガオカサンチョウメヒガシ,,成瀬が丘三丁目東
stops,stop_name,ja,三丁目児童公園入口,,三丁目児童公園入口
stops,stop_name,ja-Hrkt,サンチョウメジドウコウエンイリグチ,,三丁目児童公園入口
stops,stop_name,ja,成瀬が丘三丁目西,,成瀬が丘三丁目西
stops,stop_name,ja-Hrkt,ナルセガオカサンチョウメニシ,,成瀬が丘三丁目西
stops,stop_name,ja,金森図書館前,,金森図書館前
stops,stop_name,ja-Hrkt,カナモリトショカンマエ,,金森図書館前
stops,stop_name,ja,松葉谷戸公園入口,,松葉谷戸公園入口
stops,stop_name,ja-Hrkt,マツバヤトコウエンイリグチ,,松葉谷戸公園入口
stops,stop_name,ja,都営金森第９前,,都営金森第９前
stops,stop_name,ja-Hrkt,トエイカナモリダイキュウマエ,,都営金森第９前
stops,stop_name,ja,金森二丁目中央,,金森二丁目中央
stops,stop_name,ja-Hrkt,カナモリニチョウメチュウオウ,,金森二丁目中央
stops,stop_name,ja,金森,,金森
stops,stop_name,ja-Hrkt,カナモリ,,金森
stops,stop_name,ja,都営金森第１１入口,,都営金森第１１入口
stops,stop_name,ja-Hrkt,トエイカナモリダイジュウイチイリグチ,,都営金森第１１入口
stops,stop_name,ja,市営住宅入口,,市営住宅入口
stops,stop_name,ja-Hrkt,シエイジュウタクイリグチ,,市営住宅入口
stops,stop_name,ja,南中学校北,,南中学校北
stops,stop_name,ja-Hrkt,ミナミチュウガッコウキタ,,南中学校北
stops,stop_name,ja,わさび田公園前,,わさび田公園前
stops,stop_name,ja-Hrkt,ワサビダコウエンマエ,,わさび田公園前
stops,stop_name,ja,みずき山ふるさとの森,,みずき山ふるさとの森
stops,stop_name,ja-Hrkt,ミズキヤマフルサトノモリ,,みずき山ふるさとの森
stops,stop_name,ja,南第四小学校入口,,南第四小学校入口
stops,stop_name,ja-Hrkt,ミナミダイヨンショウガッコウイリグチ,,南第四小学校入口
stops,stop_name,ja,都立小川高校前,,都立小川高校前
stops,stop_name,ja-Hrkt,トリツオガワコウコウマエ,,都立小川高校前
stops,stop_name,ja,成瀬が丘二丁目西,,成瀬が丘二丁目西
stops,stop_name,ja-Hrkt,ナルセガオカニチョウメニシ,,成瀬が丘二丁目西
stops,stop_name,ja,南中学校前［町田市］,,南中学校前［町田市］
stops,stop_name,ja-Hrkt,ミナミチュウガッコウマエ,,南中学校前［町田市］
stops,stop_name,ja,南中学校東,,南中学校東
stops,stop_name,ja-Hrkt,ミナミチュウガッコウヒガシ,,南中学校東
stops,stop_name,ja,町田バスセンター,,町田バスセンター
stops,stop_name,ja-Hrkt,マチダバスセンター,,町田バスセンター
stops,stop_name,ja,町田市役所市民ホール前,,町田市役所市民ホール前
stops,stop_name,ja-Hrkt,マチダシヤクショシミンホールマエ,,町田市役所市民ホール前
stops,stop_name,ja,第四小学校前［町田市］,,第四小学校前［町田市］
stops,stop_name,ja-Hrkt,ダイヨンショウガッコウマエ,,第四小学校前［町田市］
stops,stop_name,ja,中町二丁目,,中町二丁目
stops,stop_name,ja-Hrkt,ナカマチニチョウメ,,中町二丁目
stops,stop_name,ja,旭町,,旭町
stops,stop_name,ja-Hrkt,アサヒマチ,,旭町
stops,stop_name,ja,町田市民病院,,町田市民病院
stops,stop_name,ja-Hrkt,マチダシミンビョウイン,,町田市民病院
stops,stop_name,ja,五間道路,,五間道路
stops,stop_name,ja-Hrkt,ゴケンドウロ,,五間道路
stops,stop_name,ja,図書館前［町田市］,,図書館前［町田市］
stops,stop_name,ja-Hrkt,トショカンマエ,,図書館前［町田市］
stops,stop_name,ja,中町一丁目,,中町一丁目
stops,stop_name,ja-Hrkt,ナカマチイッチョウメ,,中町一丁目
stops,stop_name,ja,原町田五丁目,,原町田五丁目
stops,stop_name,ja-Hrkt,ハラマチダゴチョウメ,,原町田五丁目
stops,stop_name,ja,原町田四丁目,,原町田四丁目
stops,stop_name,ja-Hrkt,ハラマチダヨンチョウメ,,原町田四丁目
stops,stop_name,ja,町田ターミナル,,町田ターミナル
stops,stop_name,ja-Hrkt,マチダターミナル,,町田ターミナル
stops,stop_name,ja,ネイチャーファクトリー東京町田,,ネイチャーファクトリー東京町田
stops,stop_name,ja-Hrkt,ネイチャーファクトリートウキョウマチダイリグチ,,ネイチャーファクトリー東京町田
stops,stop_name,ja,上大戸,,上大戸
stops,stop_name,ja-Hrkt,カミオオト,,上大戸
stops,stop_name,ja,大戸橋,,大戸橋
stops,stop_name,ja-Hrkt,オオトバシ,,大戸橋
stops,stop_name,ja,公会堂前［町田市］,,公会堂前［町田市］
stops,stop_name,ja-Hrkt,コウカイドウマエ,,公会堂前［町田市］
stops,stop_name,ja,水の口,,水の口
stops,stop_name,ja-Hrkt,ミノクチ,,水の口
stops,stop_name,ja,円林寺前,,円林寺前
stops,stop_name,ja-Hrkt,エンリンジマエ,,円林寺前
stops,stop_name,ja,境橋［町田市］,,境橋［町田市］
stops,stop_name,ja-Hrkt,サカイバシ,,境橋［町田市］
stops,stop_name,ja,根岸［相原町］,,根岸［相原町］
stops,stop_name,ja-Hrkt,ネギシ,,根岸［相原町］
stops,stop_name,ja,相原十字路,,相原十字路
stops,stop_name,ja-Hrkt,アイハラジュウジロ,,相原十字路
stops,stop_name,ja,開都,,開都
stops,stop_name,ja-Hrkt,カイト,,開都
stops,stop_name,ja,相原小学校前,,相原小学校前
stops,stop_name,ja-Hrkt,アイハラショウガッコウマエ,,相原小学校前
stops,stop_name,ja,諏訪神社前［町田市］,,諏訪神社前［町田市］
stops,stop_name,ja-Hrkt,スワジンジャマエ,,諏訪神社前［町田市］
stops,stop_name,ja,相原,,相原
stops,stop_name,ja-Hrkt,アイハラ,,相原
stops,stop_name,ja,堺市民センター前,,堺市民センター前
stops,stop_name,ja-Hrkt,サカイシミンセンターマエ,,堺市民センター前
stops,stop_name,ja,堺中学校前,,堺中学校前
stops,stop_name,ja-Hrkt,サカイチュウガッコウマエ,,堺中学校前
stops,stop_name,ja,堺農協前,,堺農協前
stops,stop_name,ja-Hrkt,サカイノウキョウマエ,,堺農協前
stops,stop_name,ja,坂下［町田市相原町］,,坂下［町田市相原町］
stops,stop_name,ja-Hrkt,サカシタ,,坂下［町田市相原町］
stops,stop_name,ja,相原境,,相原境
stops,stop_name,ja-Hrkt,アイハラサカイ,,相原境
stops,stop_name,ja,久保ヶ谷戸,,久保ヶ谷戸
stops,stop_name,ja-Hrkt,クボガヤト,,久保ヶ谷戸
stops,stop_name,ja,田端［町田市］,,田端［町田市］
stops,stop_name,ja-Hrkt,タバタ,,田端［町田市］
stops,stop_name,ja,片所,,片所
stops,stop_name,ja-Hrkt,カタソ,,片所
stops,stop_name,ja,小山小学校前,,小山小学校前
stops,stop_name,ja-Hrkt,オヤマショウガッコウマエ,,小山小学校前
stops,stop_name,ja,常盤,,常盤
stops,stop_name,ja-Hrkt,トキワ,,常盤
stops,stop_name,ja,桜橋［町田市］,,桜橋［町田市］
stops,stop_name,ja-Hrkt,サクラバシ,,桜橋［町田市］
stops,stop_name,ja,市立室内プール［町田市］,,市立室内プール［町田市］
stops,stop_name,ja-Hrkt,シリツシツナイプール,,市立室内プール［町田市］
stops,stop_name,ja,忠生三丁目,,忠生三丁目
stops,stop_name,ja-Hrkt,タダオサンチョウメ,,忠生三丁目
stops,stop_name,ja,忠生公園前,,忠生公園前
stops,stop_name,ja-Hrkt,タダオコウエンマエ,,忠生公園前
stops,stop_name,ja,玉川学園前駅南口,,玉川学園前駅南口
stops,stop_name,ja-Hrkt,タマガワガクエンマエエキミナミグチ,,玉川学園前駅南口
stops,stop_name,ja,鶯谷,,鶯谷
stops,stop_name,ja-Hrkt,ウグイスダニ,,鶯谷
stops,stop_name,ja,鶯谷南,,鶯谷南
stops,stop_name,ja-Hrkt,ウグイスダニミナミ,,鶯谷南
stops,stop_name,ja,旭ヶ丘東,,旭ヶ丘東
stops,stop_name,ja-Hrkt,アサヒガオカヒガシ,,旭ヶ丘東
stops,stop_name,ja,東急台入口,,東急台入口
stops,stop_name,ja-Hrkt,トウキュウダイイリグチ,,東急台入口
stops,stop_name,ja,つつじヶ丘,,つつじヶ丘
stops,stop_name,ja-Hrkt,ツツジガオカ,,つつじヶ丘
stops,stop_name,ja,成瀬南台公園,,成瀬南台公園
stops,stop_name,ja-Hrkt,ナルセミナミダイコウエン,,成瀬南台公園
stops,stop_name,ja,児童公園前［町田市］,,児童公園前［町田市］
stops,stop_name,ja-Hrkt,ジドウコウエンマエ,,児童公園前［町田市］
stops,stop_name,ja,東玉川学園四丁目,,東玉川学園四丁目
stops,stop_name,ja-Hrkt,ヒガシタマガワガクエンヨンチョウメ,,東玉川学園四丁目
stops,stop_name,ja,こすもす会館,,こすもす会館
stops,stop_name,ja-Hrkt,コスモスカイカン,,こすもす会館
stops,stop_name,ja,化石谷公園,,化石谷公園
stops,stop_name,ja-Hrkt,カセキダニコウエン,,化石谷公園
stops,stop_name,ja,昭和薬科大学,,昭和薬科大学
stops,stop_name,ja-Hrkt,ショウワヤッカダイガク,,昭和薬科大学
stops,stop_name,ja,成瀬山緑地,,成瀬山緑地
stops,stop_name,ja-Hrkt,ナルセヤマリョクチ,,成瀬山緑地
stops,stop_name,ja,成瀬台三丁目,,成瀬台三丁目
stops,stop_name,ja-Hrkt,ナルセダイサンチョウメ,,成瀬台三丁目
stops,stop_name,ja,成瀬中央通り,,成瀬中央通り
stops,stop_name,ja-Hrkt,ナルセチュウオウドオリ,,成瀬中央通り
stops,stop_name,ja,成瀬台四丁目西,,成瀬台四丁目西
stops,stop_name,ja-Hrkt,ナルセダイヨンチョウメニシ,,成瀬台四丁目西
stops,stop_name,ja,東急台南,,東急台南
stops,stop_name,ja-Hrkt,トウキュウダイミナミ,,東急台南
stops,stop_name,ja,東玉川学園二丁目,,東玉川学園二丁目
stops,stop_name,ja-Hrkt,ヒガシタマガワガクエンニチョウメ,,東玉川学園二丁目
stops,stop_name,ja,鶯谷北,,鶯谷北
stops,stop_name,ja-Hrkt,ウグイスダニキタ,,鶯谷北
stops,stop_name,ja,ぬぼこ山,,ぬぼこ山
stops,stop_name,ja-Hrkt,ヌボコヤマ,,ぬぼこ山
stops,stop_name,ja,七丁目児童公園前,,七丁目児童公園前
stops,stop_name,ja-Hrkt,ナナチョウメジドウコウエンマエ,,七丁目児童公園前
stops,stop_name,ja,松見ヶ丘北,,松見ヶ丘北
stops,stop_name,ja-Hrkt,マツミガオカキタ,,松見ヶ丘北
stops,stop_name,ja,松見ヶ丘西,,松見ヶ丘西
stops,stop_name,ja-Hrkt,マツミガオカニシ,,松見ヶ丘西
stops,stop_name,ja,松見ヶ丘南,,松見ヶ丘南
stops,stop_name,ja-Hrkt,マツミガオカミナミ,,松見ヶ丘南
stops,stop_name,ja,松見ヶ丘尾根,,松見ヶ丘尾根
stops,stop_name,ja-Hrkt,マツミガオカオネ,,松見ヶ丘尾根
stops,stop_name,ja,松見ヶ丘東,,松見ヶ丘東
stops,stop_name,ja-Hrkt,マツミガオカヒガシ,,松見ヶ丘東
stops,stop_name,ja,無窮坂上,,無窮坂上
stops,stop_name,ja-Hrkt,ムキュウザカウエ,,無窮坂上
stops,stop_name,ja,のらくろ坂下,,のらくろ坂下
stops,stop_name,ja-Hrkt,ノラクロサカシタ,,のらくろ坂下
stops,stop_name,ja,玉川学園前駅,,玉川学園前駅
stops,stop_name,ja-Hrkt,タマガワガクエンマエエキ,,玉川学園前駅
stops,stop_name,ja,玉川学園前駅西,,玉川学園前駅西
stops,stop_name,ja-Hrkt,タマガワガクエンマエエキニシ,,玉川学園前駅西
stops,stop_name,ja,玉川学園一丁目,,玉川学園一丁目
stops,stop_name,ja-Hrkt,タマガワガクエンイッチョウメ,,玉川学園一丁目
stops,stop_name,ja,月見ヶ丘,,月見ヶ丘
stops,stop_name,ja-Hrkt,ツキミガオカ,,月見ヶ丘
stops,stop_name,ja,一丁目児童公園,,一丁目児童公園
stops,stop_name,ja-Hrkt,イッチョウメジドウコウエン,,一丁目児童公園
stops,stop_name,ja,玉園台児童遊園,,玉園台児童遊園
stops,stop_name,ja-Hrkt,ギョクエンダイジドウユウエン,,玉園台児童遊園
stops,stop_name,ja,玉園台,,玉園台
stops,stop_name,ja-Hrkt,ギョクエンダイ,,玉園台
stops,stop_name,ja,玉林台駐在所,,玉林台駐在所
stops,stop_name,ja-Hrkt,ギョクリンダイチュウザイショ,,玉林台駐在所
stops,stop_name,ja,第五小学校,,第五小学校
stops,stop_name,ja-Hrkt,ダイゴショウガッコウ,,第五小学校
stops,stop_name,ja,さくらんぼホール,,さくらんぼホール
stops,stop_name,ja-Hrkt,サクランボホール,,さくらんぼホール
stops,stop_name,ja,朝日公園,,朝日公園
stops,stop_name,ja-Hrkt,アサヒコウエン,,朝日公園
stops,stop_name,ja,すみれ児童公園,,すみれ児童公園
stops,stop_name,ja-Hrkt,スミレジドウコウエン,,すみれ児童公園
stops,stop_name,ja,金井なかよし公園,,金井なかよし公園
stops,stop_name,ja-Hrkt,カナイナカヨシコウエン,,金井なかよし公園
stops,stop_name,ja,ゆうき山公園,,ゆうき山公園
stops,stop_name,ja-Hrkt,ユウキヤマコウエン,,ゆうき山公園
stops,stop_name,ja,木倉有楽,,木倉有楽
stops,stop_name,ja-Hrkt,キクラユウラク,,木倉有楽
stops,stop_name,ja,有楽入口,,有楽入口
stops,stop_name,ja-Hrkt,ユウラクイリグチ,,有楽入口
stops,stop_name,ja,金井小学校,,金井小学校
stops,stop_name,ja-Hrkt,カナイショウガッコウ,,金井小学校
stops,stop_name,ja,松風台,,松風台
stops,stop_name,ja-Hrkt,ショウフウダイ,,松風台
stops,stop_name,ja,夕日ヶ丘,,夕日ヶ丘
stops,stop_name,ja-Hrkt,ユウヒガオカ,,夕日ヶ丘
stops,stop_name,ja,玉川学園なかよし公園,,玉川学園なかよし公園
stops,stop_name,ja-Hrkt,タマガワガクエンナカヨシコウエン,,玉川学園なかよし公園
stops,stop_name,ja,小山田桜台,,小山田桜台
stops,stop_name,ja-Hrkt,オヤマダサクラダイ,,小山田桜台
stops,stop_name,ja,桜台入口,,桜台入口
stops,stop_name,ja-Hrkt,サクラダイイリグチ,,桜台入口
stops,stop_name,ja,清住平,,清住平
stops,stop_name,ja-Hrkt,キヨスミダイラ,,清住平
stops,stop_name,ja,大泉寺,,大泉寺
stops,stop_name,ja-Hrkt,ダイセンジ,,大泉寺
stops,stop_name,ja,山の端,,山の端
stops,stop_name,ja-Hrkt,ヤマノハ,,山の端
stops,stop_name,ja,大善倶楽部,,大善倶楽部
stops,stop_name,ja-Hrkt,ダイゼンクラブ,,大善倶楽部
stops,stop_name,ja,山中集会所,,山中集会所
stops,stop_name,ja-Hrkt,ヤマナカシュウカイジョ,,山中集会所
stops,stop_name,ja,唐木田駅東,,唐木田駅東
stops,stop_name,ja-Hrkt,カラキダエキヒガシ,,唐木田駅東
stops,stop_name,ja,多摩南部地域病院,,多摩南部地域病院
stops,stop_name,ja-Hrkt,タマナンブチイキビョウイン,,多摩南部地域病院
stops,stop_name,ja,柳橋,,柳橋
stops,stop_name,ja-Hrkt,ヤナギバシ,,柳橋
